iter	RMSE
0	16675197.54
1	16128056.14
2	15679101.11
3	15351040.52
4	14925994.86
5	14497275.38
6	14166776.05
7	13802791.33
8	13456046.45
9	13079284.07
10	12751836.38
11	12467087.1
12	12158609.39
13	11867435.64
14	11627065.93
15	11340120.71
16	11100339.18
17	10883284.57
18	10663970.13
19	10461962.63
20	10246655.07
21	10037381.51
22	9855283.151
23	9718438.171
24	9549293.245
25	9384876.443
26	9255308.284
27	9117845.497
28	9016216.671
29	8889090.182
30	8750350.495
31	8630204.203
32	8522831.105
33	8392093.147
34	8274494.354
35	8173310.594
36	8051318.557
37	7941710.064
38	7866965.39
39	7765648.199
40	7680524.57
41	7595654.264
42	7530636.218
43	7475714.576
44	7427563.718
45	7340700.088
46	7269190.279
47	7218141.456
48	7178821.954
49	7108496.101
50	7044258.055
51	6968672.22
52	6926080.871
53	6887749.634
54	6830726.906
55	6785896.866
56	6743395.729
57	6699299.793
58	6657658.761
59	6611274.545
60	6563732.973
61	6530694.441
62	6494650.855
63	6445856.262
64	6419609.933
65	6385157.095
66	6358549.97
67	6326439.069
68	6296528.686
69	6275861.806
70	6238460.308
71	6186738.287
72	6177118.482
73	6154810.835
74	6130641.521
75	6097515.044
76	6064219.099
77	6053530.834
78	6030339.237
79	5988216.994
80	5972581.67
81	5958758.962
82	5935957.975
83	5908750.815
84	5886818.338
85	5870093.407
86	5854146.746
87	5828955.74
88	5814760.856
89	5773392.134
90	5756800.418
91	5734415.111
92	5710799.882
93	5691855.324
94	5675690.301
95	5661144.774
96	5648385.087
97	5641157.521
98	5634306.054
99	5614990.201
100	5581942.826
101	5553153.146
102	5525036.306
103	5509531.86
104	5491727.115
105	5485986.536
106	5474876.376
107	5458084.002
108	5438435.023
109	5420365.479
110	5411850.387
111	5393375.503
112	5374242.906
113	5345966.552
114	5335405.957
115	5307188.484
116	5299116.205
117	5291871.841
118	5290060.197
119	5282517.794
120	5272995.175
121	5250686.34
122	5227854.733
123	5218618.365
124	5209481.842
125	5204887.201
126	5185797.616
127	5167134.301
128	5150884.687
129	5135283.656
130	5122560.775
131	5112651.585
132	5103560.1
133	5097626.236
134	5086603.781
135	5066958.318
136	5062028.177
137	5058498.814
138	5052799.965
139	5036768.993
140	5025320.841
141	5003338.746
142	4989848.741
143	4970044.325
144	4941676.318
145	4930484.863
146	4917298.622
147	4903189.913
148	4887743.192
149	4864035.376
