iter	Passed	Remaining
0	3	540
1	9	681
2	14	707
3	19	709
4	29	851
5	32	782
6	36	746
7	39	702
8	42	660
9	45	639
10	48	618
11	52	602
12	56	591
13	58	571
14	61	556
15	64	543
16	73	571
17	77	570
18	79	549
19	82	537
20	86	529
21	89	520
22	92	509
23	94	498
24	97	486
25	100	477
26	102	466
27	104	454
28	106	445
29	111	444
30	114	438
31	117	432
32	119	423
33	121	415
34	123	407
35	127	402
36	129	395
37	131	389
38	134	381
39	136	374
40	138	368
41	141	363
42	144	358
43	146	352
44	148	346
45	150	340
46	153	336
47	156	332
48	159	328
49	161	323
50	164	319
51	168	316
52	170	311
53	173	307
54	176	304
55	178	300
56	181	296
57	183	291
58	186	287
59	188	283
60	191	279
61	193	275
62	196	271
63	199	267
64	201	263
65	204	260
66	207	256
67	209	252
68	212	249
69	214	245
70	216	241
71	219	238
72	222	234
73	224	230
74	227	227
75	229	223
76	232	220
77	234	216
78	237	213
79	239	209
80	242	206
81	245	203
82	247	199
83	250	196
84	252	193
85	255	189
86	257	186
87	259	182
88	261	179
89	263	175
90	266	173
91	269	170
92	271	166
93	274	163
94	276	160
95	279	156
96	282	154
97	286	152
98	291	150
99	296	148
100	302	146
101	309	145
102	314	143
103	319	141
104	325	139
105	330	137
106	335	134
107	341	132
108	347	130
109	353	128
110	358	126
111	364	123
112	370	121
113	375	118
114	381	116
115	386	113
116	391	110
117	395	107
118	397	103
119	400	100
120	403	96
121	406	93
122	410	90
123	413	86
124	416	83
125	419	79
126	422	76
127	425	73
128	428	69
129	430	66
130	433	62
131	435	59
132	437	55
133	439	52
134	442	49
135	445	45
136	447	42
137	449	39
138	451	35
139	454	32
140	456	29
141	458	25
142	461	22
143	463	19
144	465	16
145	467	12
146	470	9
147	472	6
148	474	3
149	477	0
