property_type,price,area,beds,baths,built_year,servant_quarters,floors,parking_spaces,furnished
House,"PKR
85 Lakh",2 Marla,3,3,N/A,0,1,0,Yes
House,"PKR
85 Lakh",2.9 Marla,2,2,2024,1,2,1,No
House,"PKR
95 Lakh",6 Marla,2,3,N/A,0,1,0,No
House,"PKR
97 Lakh",5 Marla,2,3,N/A,0,2,0,No
House,"PKR
98 Lakh",4 Marla,2,3,2023,0,1,4,Yes
House,"PKR
99 Lakh",5 Marla,3,3,2015,2,3,6,Yes
House,"PKR
99.5 Lakh",5.6 Marla,3,3,2025,0,1,1,No
House,"PKR
1 Crore",5 Marla,2,3,1980,2,2,0,No
House,"PKR
1 Crore",5 Marla,2,3,2010,1,2,4,Yes
House,"PKR
1 Crore",5 Marla,2,3,2025,1,2,0,Yes
House,"PKR
1 Crore",4 Marla,3,3,2020,0,2,1,No
House,"PKR
1.1 Crore",3 Marla,3,4,N/A,0,1,0,No
House,"PKR
1.1 Crore",5 Marla,2,3,2025,3,2,1,Yes
Flat,"PKR
1.1 Crore",5.3 Marla,3,3,N/A,0,1,0,No
House,"PKR
1.1 Crore",5 Marla,2,3,2023,1,2,0,Yes
House,"PKR
1.18 Crore",3.5 Marla,2,2,2020,2,2,4,No
House,"PKR
1.2 Crore",5 Marla,2,3,2026,1,1,1,No
Flat,"PKR
1.2 Crore",5.6 Marla,2,2,2020,1,1,1,Yes
House,"PKR
1.2 Crore",5 Marla,3,3,2025,0,1,1,No
House,"PKR
1.25 Crore",5 Marla,2,3,N/A,1,1,0,No
Flat,"PKR
1.25 Crore",4 Marla,1,1,N/A,0,1,0,Yes
House,"PKR
1.25 Crore",5 Marla,2,3,2025,0,1,1,No
Flat,"PKR
1.25 Crore",5.6 Marla,2,2,N/A,0,1,0,No
House,"PKR
1.25 Crore",5 Marla,2,3,2025,1,1,1,Yes
House,"PKR
1.25 Crore",5 Marla,2,3,2025,0,1,1,No
House,"PKR
1.25 Crore",5 Marla,2,3,2023,0,3,1,No
House,"PKR
1.28 Crore",4 Marla,4,5,2024,2,3,1,Yes
House,"PKR
1.3 Crore",10 Marla,3,3,N/A,0,1,0,No
House,"PKR
1.3 Crore",5 Marla,2,3,2025,2,1,1,Yes
House,"PKR
1.3 Crore",5 Marla,3,3,N/A,1,2,6,No
House,"PKR
1.3 Crore",5 Marla,2,3,2026,0,1,0,No
House,"PKR
1.3 Crore",5 Marla,2,2,2025,0,2,1,No
House,"PKR
1.3 Crore",5 Marla,2,2,2025,1,2,3,Yes
House,"PKR
1.3 Crore",5 Marla,2,3,2024,0,1,1,Yes
Flat,"PKR
1.3 Crore",5.6 Marla,2,2,N/A,0,1,0,No
House,"PKR
1.3 Crore",5.5 Marla,3,4,2024,1,1,3,Yes
House,"PKR
1.3 Crore",5 Marla,2,3,2023,1,2,1,Yes
House,"PKR
1.35 Crore",5 Marla,2,3,2026,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,2,3,2026,0,1,1,Yes
House,"PKR
1.35 Crore",5 Marla,2,3,2021,1,1,3,Yes
House,"PKR
1.35 Crore",3 Marla,3,3,2026,0,2,1,No
House,"PKR
1.35 Crore",4 Marla,4,6,N/A,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,3,3,N/A,0,1,0,No
House,"PKR
1.35 Crore",4 Marla,3,4,N/A,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,3,3,2025,0,2,1,No
House,"PKR
1.35 Crore",5 Marla,2,3,2025,0,2,1,Yes
House,"PKR
1.35 Crore",5 Marla,2,3,2026,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,3,3,2026,0,1,1,No
House,"PKR
1.35 Crore",5 Marla,3,3,N/A,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,2,2,2026,0,1,1,No
House,"PKR
1.35 Crore",5 Marla,2,3,N/A,0,1,0,No
House,"PKR
1.35 Crore",5 Marla,2,3,2024,1,1,1,Yes
House,"PKR
1.35 Crore",6 Marla,3,4,2023,1,2,5,Yes
House,"PKR
1.35 Crore",5 Marla,2,3,2024,2,1,1,Yes
House,"PKR
1.35 Crore",6 Marla,2,2,2022,1,2,1,Yes
House,"PKR
1.38 Crore",4 Marla,4,4,N/A,0,1,0,No
House,"PKR
1.4 Crore",5 Marla,3,4,2026,1,2,1,No
House,"PKR
1.4 Crore",3.7 Marla,3,4,2022,0,3,1,Yes
House,"PKR
1.4 Crore",5 Marla,3,2,2019,1,2,1,Yes
House,"PKR
1.4 Crore",5 Marla,4,3,2025,1,1,1,Yes
House,"PKR
1.4 Crore",5 Marla,3,3,2027,0,1,1,No
House,"PKR
1.4 Crore",5 Marla,3,4,N/A,0,1,0,No
House,"PKR
1.4 Crore",5 Marla,3,4,2026,0,1,0,No
House,"PKR
1.4 Crore",5 Marla,3,4,2026,0,2,1,Yes
Flat,"PKR
1.4 Crore",5.6 Marla,2,2,N/A,0,1,0,No
House,"PKR
1.4 Crore",5 Marla,3,4,2026,0,2,1,Yes
House,"PKR
1.4 Crore",5 Marla,3,4,2026,1,2,0,No
