property_type,servant_quarters,floors,parking_spaces,furnished,Price_PKR,Area_SqFt,Beds_Num,Baths_Num,Built_Year_Clean
House,1,2,1,No,8500000,652.5,2,2,2024
House,0,1,4,Yes,9800000,900.0,2,3,2023
House,2,3,6,Yes,9900000,1125.0,3,3,2015
House,0,1,1,No,9950000,1260.0,3,3,2025
House,2,2,0,No,10000000,1125.0,2,3,1980
House,1,2,4,Yes,10000000,1125.0,2,3,2010
House,1,2,0,Yes,10000000,1125.0,2,3,2025
House,0,2,1,No,10000000,900.0,3,3,2020
House,3,2,1,Yes,11000000,1125.0,2,3,2025
House,1,2,0,Yes,11000000,1125.0,2,3,2023
House,2,2,4,No,11800000,787.5,2,2,2020
House,1,1,1,No,12000000,1125.0,2,3,2026
Flat,1,1,1,Yes,12000000,1260.0,2,2,2020
House,0,1,1,No,12000000,1125.0,3,3,2025
House,0,1,1,No,12500000,1125.0,2,3,2025
House,1,1,1,Yes,12500000,1125.0,2,3,2025
House,0,1,1,No,12500000,1125.0,2,3,2025
House,0,3,1,No,12500000,1125.0,2,3,2023
House,2,3,1,Yes,12800000,900.0,4,5,2024
House,2,1,1,Yes,13000000,1125.0,2,3,2025
House,0,1,0,No,13000000,1125.0,2,3,2026
House,0,2,1,No,13000000,1125.0,2,2,2025
House,1,2,3,Yes,13000000,1125.0,2,2,2025
House,0,1,1,Yes,13000000,1125.0,2,3,2024
House,1,1,3,Yes,13000000,1237.5,3,4,2024
House,1,2,1,Yes,13000000,1125.0,2,3,2023
House,0,1,0,No,13500000,1125.0,2,3,2026
House,0,1,1,Yes,13500000,1125.0,2,3,2026
House,1,1,3,Yes,13500000,1125.0,2,3,2021
House,0,2,1,No,13500000,675.0,3,3,2026
House,0,2,1,No,13500000,1125.0,3,3,2025
House,0,2,1,Yes,13500000,1125.0,2,3,2025
House,0,1,0,No,13500000,1125.0,2,3,2026
House,0,1,1,No,13500000,1125.0,3,3,2026
House,0,1,1,No,13500000,1125.0,2,2,2026
House,1,1,1,Yes,13500000,1125.0,2,3,2024
House,1,2,5,Yes,13500000,1350.0,3,4,2023
House,2,1,1,Yes,13500000,1125.0,2,3,2024
House,1,2,1,Yes,13500000,1350.0,2,2,2022
House,1,2,1,No,14000000,1125.0,3,4,2026
House,0,3,1,Yes,14000000,832.5,3,4,2022
House,1,2,1,Yes,14000000,1125.0,3,2,2019
House,1,1,1,Yes,14000000,1125.0,4,3,2025
House,0,1,1,No,14000000,1125.0,3,3,2027
House,0,1,0,No,14000000,1125.0,3,4,2026
House,0,2,1,Yes,14000000,1125.0,3,4,2026
House,0,2,1,Yes,14000000,1125.0,3,4,2026
House,1,2,0,No,14000000,1125.0,3,4,2026
House,0,2,1,No,14500000,1125.0,3,3,2025
House,1,2,1,No,14500000,1125.0,3,4,2026
House,0,2,1,No,14800000,1125.0,3,4,2026
House,0,2,1,Yes,14800000,1125.0,3,4,2025
House,2,2,1,Yes,15000000,1125.0,3,4,2026
House,3,1,5,Yes,15000000,1125.0,3,4,2026
Flat,1,1,3,No,15000000,1260.0,2,2,2025
House,1,2,1,Yes,15500000,1125.0,4,4,2025
House,0,1,0,Yes,15500000,1125.0,4,5,2027
House,0,1,0,No,15500000,1125.0,5,6,2023
House,0,2,1,No,15500000,1125.0,5,6,2024
House,0,2,1,No,15500000,900.0,4,5,2023
House,1,2,1,No,16000000,1125.0,3,4,2026
House,2,2,1,No,16000000,1125.0,3,4,2026
House,1,1,0,Yes,16500000,1350.0,3,4,2024
House,1,2,0,Yes,16500000,1350.0,3,4,2023
House,1,2,200,No,16500000,1260.0,4,5,2023
House,0,2,0,No,17000000,1125.0,4,4,2017
House,0,2,1,Yes,17000000,1125.0,4,6,2025
House,1,2,3,No,17000000,1125.0,6,7,2022
House,1,2,3,No,17000000,1125.0,6,7,2022
House,1,1,1,No,17000000,1125.0,4,6,2020
House,1,1,1,Yes,17000000,1350.0,2,1,2022
House,0,1,1,No,17000000,1125.0,3,4,2025
House,1,2,3,Yes,17500000,1350.0,5,5,2025
House,0,2,1,Yes,17500000,1125.0,4,6,2025
House,0,2,1,No,17500000,1125.0,4,6,2025
House,0,2,1,Yes,17500000,1125.0,4,6,2025
House,1,2,1,Yes,17500000,1125.0,4,6,2025
House,1,2,2,Yes,17500000,1125.0,5,6,2025
House,2,2,0,Yes,18000000,1125.0,6,6,2025
House,2,2,4,Yes,18000000,1575.0,3,4,2022
House,1,2,3,No,18000000,1125.0,4,6,2024
House,1,2,3,No,18000000,1125.0,4,6,2024
House,0,1,1,No,18000000,1350.0,4,5,2023
House,0,1,2,No,18000000,1350.0,4,4,2005
House,2,2,5,Yes,18500000,1125.0,6,6,2016
House,1,2,1,No,18900000,1125.0,5,6,2024
House,2,2,4,No,19500000,1125.0,4,5,2026
House,1,2,1,Yes,19500000,1125.0,5,6,2025
House,2,2,0,No,19500000,1575.0,4,5,1980
House,0,2,1,Yes,20000000,1125.0,4,6,2026
House,1,2,2,No,20000000,1125.0,4,4,2026
House,0,1,0,No,20000000,2250.0,6,6,2018
House,0,1,0,Yes,20000000,1125.0,4,6,2026
House,1,3,2,No,20000000,2025.0,6,6,2026
House,1,3,0,No,20000000,1125.0,4,6,2026
House,2,3,1,Yes,20000000,1125.0,3,4,2025
House,0,2,2,Yes,20000000,2025.0,4,4,2025
House,0,1,1,No,20000000,1350.0,4,5,2026
House,2,2,0,Yes,20000000,1350.0,4,5,2024
House,1,2,1,Yes,20000000,1125.0,4,6,2025
House,1,1,1,Yes,20000000,1125.0,6,6,2025
House,0,1,0,Yes,20000000,1575.0,4,7,2024
House,1,2,1,Yes,20000000,1350.0,4,5,2024
House,0,2,1,No,20000000,1575.0,4,6,2025
House,0,2,1,Yes,20500000,1125.0,5,6,2025
House,0,2,2,Yes,21000000,1800.0,2,3,2025
House,0,2,1,No,21000000,1125.0,5,5,2025
House,1,3,1,Yes,21000000,1125.0,5,6,2025
House,2,2,4,Yes,21500000,1125.0,5,6,2023
House,1,1,2,No,21500000,1575.0,5,6,2023
House,1,1,1,Yes,21800000,1125.0,4,4,2025
House,1,2,5,No,21800000,1125.0,4,4,2025
House,1,1,1,Yes,21800000,1125.0,4,4,2025
House,0,2,0,No,22000000,1125.0,4,6,2026
House,0,1,0,Yes,22000000,1125.0,5,5,2022
House,1,2,1,Yes,22000000,1350.0,6,6,2025
House,1,2,1,Yes,22000000,1350.0,4,6,2023
House,1,2,1,Yes,22000000,1125.0,5,5,2025
House,2,2,4,Yes,22000000,1800.0,4,6,2024
House,0,2,2,No,22500000,1440.0,4,5,2024
House,2,2,1,Yes,22500000,1125.0,5,0,2026
House,2,2,2,Yes,22500000,1620.0,5,5,2024
House,1,1,1,Yes,23000000,1800.0,4,4,2025
House,2,1,8,Yes,23000000,1125.0,4,4,2025
House,1,2,0,Yes,23000000,1125.0,4,4,2024
House,0,2,0,No,23500000,1800.0,5,6,2025
House,0,2,1,Yes,23500000,1575.0,5,5,2024
House,1,2,1,Yes,23500000,1800.0,5,5,2025
House,1,2,2,Yes,24000000,1575.0,4,5,2025
House,0,2,2,No,24000000,1575.0,4,5,2025
House,0,2,2,Yes,24000000,1575.0,4,5,2025
House,0,1,0,Yes,24500000,1125.0,3,5,2025
House,1,2,2,Yes,25000000,1350.0,6,7,2020
House,0,2,0,No,25000000,1350.0,6,7,2023
House,1,2,1,Yes,25000000,2475.0,4,4,2025
House,2,2,1,Yes,25000000,1575.0,6,6,2025
House,2,2,2,Yes,25000000,1575.0,5,6,2025
House,1,2,1,Yes,25000000,1687.5,5,6,2026
House,2,2,5,No,25000000,1575.0,5,6,2026
House,1,2,2,No,25000000,1687.5,5,6,2026
House,2,2,1,Yes,25000000,1575.0,6,6,2025
House,1,2,2,Yes,25000000,2250.0,5,6,2025
House,1,2,1,Yes,25000000,1350.0,5,5,2025
House,1,2,1,Yes,25000000,1687.5,5,6,2026
House,1,2,2,Yes,25000000,2475.0,3,5,2019
House,1,2,2,Yes,25000000,2250.0,2,3,2022
House,2,2,9,Yes,25000000,2700.0,6,6,1998
House,1,1,2,No,25000000,1350.0,5,5,2023
House,2,2,4,Yes,25500000,1575.0,4,6,2023
House,0,1,0,No,26000000,2250.0,3,4,2026
House,1,2,2,Yes,26000000,1575.0,5,6,2025
House,1,2,1,No,26000000,1575.0,4,6,2025
House,1,2,0,Yes,26000000,1575.0,5,6,2024
House,1,2,1,No,26000000,2250.0,4,5,2015
House,1,2,2,No,27000000,1800.0,4,6,2025
House,1,3,2,No,27000000,2250.0,5,6,2024
House,1,2,1,No,27000000,1507.5,4,6,2025
House,0,2,1,No,27000000,1575.0,5,5,2025
House,0,1,2,No,27000000,1350.0,5,0,2025
House,1,2,2,No,27000000,2250.0,5,6,2024
House,0,2,1,Yes,27500000,1800.0,4,4,2025
House,1,1,0,Yes,27500000,1800.0,6,7,2027
House,1,3,2,Yes,27500000,1800.0,6,6,2025
House,1,2,0,Yes,27500000,1125.0,4,5,2025
House,1,1,1,Yes,27500000,1462.5,5,6,2025
House,1,2,0,Yes,29000000,1575.0,4,6,2025
House,1,1,0,Yes,29000000,2250.0,7,6,2023
House,0,1,1,No,30000000,1575.0,5,6,2026
House,2,2,1,Yes,30000000,1575.0,4,4,2026
House,1,1,4,Yes,30000000,2250.0,4,5,2010
House,1,2,2,Yes,30000000,1800.0,6,7,2025
House,1,2,2,No,31000000,1575.0,4,6,2025
House,2,2,1,Yes,31000000,1575.0,5,6,2025
House,1,2,1,Yes,31000000,1800.0,5,6,2024
House,2,2,1,Yes,31000000,1575.0,5,6,2025
House,1,2,2,Yes,32000000,1800.0,4,4,2022
House,1,1,3,Yes,32000000,2250.0,4,5,2025
House,0,2,5,Yes,32500000,3600.0,5,5,2021
House,1,2,2,No,32500000,1800.0,5,6,2025
House,1,2,2,Yes,32500000,2250.0,4,5,2024
House,1,2,2,Yes,32500000,2025.0,4,5,2024
House,1,2,2,Yes,32500000,2250.0,4,5,2024
